,words,kind
270,Abel Magwitch,person
164,Abraham,person
116,Adam,person
163,Alexander,person
10,America,location
38,Anna Dominoes,person
274,Arthur,person
153,As Carton,person
202,Athens,location
228,Australia,location
43,Bar,location
224,Bentley,person
229,Bentley Drummle,person
198,Biddy,person
257,Biddy,location
208,Bill,person
288,Bill Barley,person
267,Botany Bay,location
51,Britain,location
131,Bully Stryver,person
194,Cain,person
298,Cairo,location
197,Camberwell,location
299,Camberwell Green,person
90,Cambridge,location
49,Canada,location
225,Canterbury,location
286,Captain Cook,person
251,Captain Tom,person
119,Carton,person
234,Castle,location
28,Channel,location
115,Charles,person
121,Charles,location
45,Charles Darnay,person
118,Charles Darnayas,person
61,Charles Darnayjust,person
141,Charles Evrémonde,person
242,Charlotte,person
244,Charlotte,location
100,Chase,person
258,Chelsea Reach,person
285,Chinks,location
291,Christmas,person
73,Cinderella,person
247,Clara,person
287,Clara Barley,person
67,Clerkenwell,location
176,Collins,person
23,Concord,location
185,Cousin Raymond,person
216,Covent Garden,location
75,Darnay,person
35,Defarge,person
245,Denmark,location
152,Doctor,person
56,Doctor Manette,person
22,Dover,location
24,Dover,person
237,Drummle,person
279,Drummle,location
227,Dutch,person
138,Earth,location
207,earth,location
129,East,location
113,Either Saint Antoine,person
6,England,location
151,Ernest Defarge,person
276,Essex,location
269,Essex Street,location
190,Estella,person
262,Estella,location
220,Europe,location
136,Evrémonde,person
78,FarmerGeneral,person
7,France,location
111,Franceall France,location
233,George,person
196,George Barnwell,person
188,Georgiana,person
260,Gerrard Street,location
101,Grace,person
296,Gravesend,location
52,Greece,location
231,Greenwich,location
127,Haggard Saint Antoine,person
297,Hamburg,location
180,Havisham,person
215,Herbert,person
268,Herbert,location
214,Herbert Pocket,person
154,Herhe,person
66,Hope,location
241,Hyde Park,location
272,India,location
210,Inn,person
232,Jack,person
33,Jacques,person
104,Jacques Five,person
125,Jacques FiveandTwenty Thousand,person
103,Jacques Four,person
123,Jacques One,person
105,Jacques Three,person
102,Jacques Two,person
217,Jane,person
255,Jane Pocket,person
155,Jarvis Lorry,person
17,Jerry,person
41,Jerry Cruncher,person
15,Joe,person
182,Joe,location
161,Joe Gargery,person
112,John,person
48,John Barsad,person
145,John Solomon,person
178,Joseph,person
200,Joseph Gargery,person
199,Josephor JoeGargery,person
192,Justices,person
295,Kent,person
64,King,location
109,King,person
133,King of France,location
221,Knight,person
150,La Force,location
139,La Guillotine,location
46,Lewis,person
134,Liberty,location
209,Little Britain,location
256,Lloyd,person
8,London,location
76,Londonhave,location
222,Lord Chancellor,person
117,Lorry,location
108,Louis Fifteen,person
122,Love,location
261,Love,person
93,Lucie,person
94,Lucie,location
60,Lucie Manette,person
193,Lunnon,location
107,Madame Defarge,location
25,Manette,person
175,Mark Antony,person
84,Marquis,location
264,Marseilles,location
282,Mary Anne,person
187,Matthew,person
280,Matthew Pocket,person
144,Midnight Murder,person
206,Mike,person
191,Miss Havisham,person
72,Miss Pross,person
235,Molly,person
83,Monsieur,person
87,Monsieur,location
86,Monsieur Charles,person
32,Monsieur Defarge,person
85,Monsieur Gabelle,person
142,Monsieur Lorry,person
29,Monsieur Manette,person
82,Monsieur Orleans,person
254,Moses,person
47,Mr AttorneyGeneral,person
212,Mr Barnard,person
147,Mr Barsad,person
186,Mr Camilla,person
290,Mr Campbell,person
57,Mr Carton,person
39,Mr Cruncher,person
40,Mr Crunches,person
62,Mr Darnay,person
278,Mr Drummle,person
239,Mr Gargery,person
171,Mr Hubble,person
201,Mr Jaggers,person
18,Mr Lorry,person
253,Mr Matthew,person
174,Mr P,person
203,Mr Pip,person
213,Mr Pocket,person
169,Mr Pumblechook,person
58,Mr Stryver,person
204,Mr Trabb,person
246,Mr Waldengarver,person
211,Mr Wemmick,person
172,Mr Wopsle,person
292,Mr Wopsle,location
223,Mrs Coiler,person
173,Mrs Hubble,person
166,Mrs Joe,person
218,Mrs Pocket,person
271,New South Wales,location
143,Nick,person
265,Noble,person
50,North America,location
37,North Tower,location
11,Norway,location
79,Notre Dame,person
34,NotreDame,person
263,Of Richmond,person
98,Old Bailey Spiiies,person
132,Old England,location
293,Old Orlick,location
12,Paris,location
135,Peace,person
160,Philip,person
281,Philip Pip,person
162,Philip Pirrip,person
195,Pip,person
205,Pocket,person
120,Poor Carton,person
170,Pork,location
266,Portsmouth,location
226,Prince,location
81,Professors,person
69,Pross,person
168,Pumblechook,person
110,Queen,location
183,Raymond,person
140,Revolution,person
283,Richard,person
252,Richmond,location
165,Roger,person
54,Roger Cly,person
53,Rome,location
243,Rule Britannia,person
114,Saint,person
30,Saint Antoine,person
128,Saint Antoine Quarter,person
137,Saint Germain Quarter,person
99,Saint Pancras,person
149,Saint PancrasintheFields,person
77,Saint Paul,person
275,Sally,person
189,Sarah,person
184,Sarah Pocket,person
130,Sardanapalus,location
106,Scientific,location
300,Sentences,location
259,Skiffins,person
21,Smith,person
68,Soho,location
71,Solomon,person
146,Solomon John,person
148,Solomon Pross,person
126,South Sea,location
238,Spider,location
236,Startop,person
95,Stryver,person
89,Surely,person
65,Sydney,location
96,Sydney,person
63,Sydney Carton,person
19,Tellson,location
42,Temple,location
20,Temple Bar,location
97,Temple Court,location
302,Temple Gardens,location
88,Timethrough,location
16,Tom,person
27,Turkey,location
124,Two Thousand,person
80,Unbelieving Chemists,person
59,Washington,location
230,Wemmick,person
9,Westminster,location
219,Westminster Abbey,location
14,Westminster Hall,location
301,William,person
289,Windsor,location
294,Wolf,person
250,Wood Street,location
